Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
POLLENÇA;SASTRE CIFRE SL (B07111917);Alta;3 claus;MIRAMAR;4417581.06775;Carrer ALMIRALL CERVERA, 13. 07470 Port De Pollença, POLLENÇA, Mallorca;507093.432002;07/12/1984;AT/1342;;;;Allotjaments;;Apartaments turístics;5;20;Port De Pollença;3.0829895510342578;39.908284463258745
MANACOR;ANTONIO VALLBONA RIGO;Alta;1 clau;LOS PINOS;4366863.66755;OCCITANIA, 11. 07688 Cala Murada, MANACOR, Mallorca;523293.728792;13/12/1984;AT/1343;;;;Allotjaments;;Apartaments turístics;8;36;Cala Murada;3.2707333053274295;39.45101998650143
CAPDEPERA;ESTEVA LLITERAS S.L. (B16500480);Alta;1 clau;GIRASOL LLITERAS;4395829.55427;REIS CATOLICS, 28. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;17/01/1985;AT/1346;;;;Allotjaments;;Apartaments turístics;12;36;Cala Rajada;3.459837694366632;39.71142029804171
POLLENÇA;JEANETTE Y SYLVIO, E.S.P.J. (E10868412);Alta;2 claus;APARTAMENTOS FALCÓ;4416586.5209;Carrer DES FALCÓ, 21. 07470 Port De Pollença, POLLENÇA, Mallorca;506266.24509999994;05/03/1985;AT/1356;;;;Allotjaments;;Apartaments turístics;9;54;Port De Pollença;3.0733023428580144;39.89933017222917
ALCÚDIA;PUERTO BELLO SL (B07101074);Alta;2 claus;SIESTA I;4408898.7792;Avinguda PERE MAS REUS, 23. 07400 Port DAlcúdia, ALCÚDIA, Mallorca;509325.998338;05/10/1985;AT/1357;;;;Allotjaments;;Apartaments turístics;166;436;Port DAlcúdia;3.1089855441052863;39.830035491474796
ALCÚDIA;RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991);Alta;2 claus;VICTORIA;4409753.14627;Carrer MINERVA, 15. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;510529.587361;20/03/1985;AT/1360;;;;Allotjaments;;Apartaments turístics;26;84;Port DAlcúdia;3.123064642350808;39.83771930893014
CALVIÀ;Acerca Gestion 400, S.L. (B56794324);Alta;2 claus;APARTAMENTOS MAC SURFING PLAYA;;Avinguda REI JAUME I, 83. 07180 Santa Ponça, CALVIÀ, Mallorca;;22/03/1985;AT/1362;;;;Allotjaments;;Apartaments turístics;74;222;Santa Ponça;;
CALVIÀ;HOTEL SEM PALMANOVA, S.L. (B88607098);Alta;4 claus;APARTAMENTOS PALMANOVA BEACH BY TRH;4374818.26252;Carrer PARIS CANTONADA C. PINZONES, S/N. 07181 Palmanova, CALVIÀ, Mallorca;460297.624813;24/04/1985;AT/1364;;;;Allotjaments;;Apartaments turístics;93;210;Palmanova;2.5380864809707315;39.52209308220374
SANT LLORENÇ DES CARDASSAR;BEDS & ROOMS PLAYAMAR S.L. (B57851909);Baixa temporal;1 clau;DORADO II;4385136.27426;Carrer GREGAL, 3. 07687 Illot (L), SANT LLORENÇ DES CARDASSAR, Mallorca;524762.183362;24/04/1985;AT/1365;;;;Allotjaments;;Apartaments turístics;3;15;Illot (L);3.2884809771700825;39.61562278365187
CALVIÀ;COCONUT APARTAMENTOS SL (B07704323);Alta;1 clau;COCONUT;4373487.55781;GENERAL GARCIA RUIZ - PUNTA BALLENA, S/N. 07182 Magaluf, CALVIÀ, Mallorca;460203.04742;13/06/1985;AT/1389;;;;Allotjaments;;Apartaments turístics;33;66;Magaluf;2.537065756357962;39.510098707495445
SANTA MARGALIDA;MIGUEL FONT JORDA;Alta;1 clau;CHARLYS BLOQUE B;4402073.8558;RAN DE MAR, 7. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;512947.904451;18/06/1985;AT/1390;;;;Allotjaments;;Apartaments turístics;11;28;Can Picafort;3.151177063704952;39.76849487615348
CAPDEPERA;MARGARITA FUSTER SANCHO;Alta;1 clau;ROSAMAR;4396650.84512;REGANA BLAVA S/N C.AGULLA, S/N. 07580 CAPDEPERA, Mallorca;539630.133683;08/04/1986;AT/1412;;;;Allotjaments;;Apartaments turístics;10;42;Capdepera;3.4623802446303076;39.718810188984904
SON SERVERA;SUVILLA CALA MILLOR SA (A07130214);Alta;2 claus;CRISTINA VILLAS I;4383904.27882;Carrer SAMETLER, 21. 07560 Cala Millor, SON SERVERA, Mallorca;532469.866871;11/10/1985;AT/1427;;;0;Allotjaments;;Apartaments turístics;40;160;Cala Millor;3.3782139456157725;39.60426457958191
SON SERVERA;SUVILLA CALA MILLOR SA (A07130214);Alta;2 claus;CRISTINA VILLAS II;4383904.27882;SAMETLER, 21. 07560 Cala Millor, SON SERVERA, Mallorca;532469.866871;11/10/1985;AT/1428;;;;Allotjaments;;Apartaments turístics;34;168;Cala Millor;3.3782139456157725;39.60426457958191
ALCÚDIA;ALCUDIA BEACH APARTAMENTS SL (B57062101);Alta;3 claus Superior;ALCUDIA BEACH;4408669.00966;Avinguda NICOLAS RIERA MARÇA, 6. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;509785.314112;31/10/1985;AT/1439;;;;Allotjaments;;Apartaments turístics;130;364;Port DAlcúdia;3.114349760953134;39.827960089809004
CAPDEPERA;DON QUIJOTE, CB (E07455058);Alta;2 claus;DON QUIJOTE;4394218.80233;CALA AGULLA, 117. 07590 Cala Rajada, CAPDEPERA, Mallorca;536639.913567;21/03/1986;AT/1460;;;;Allotjaments;;Apartaments turístics;24;124;Cala Rajada;3.4273579135649506;39.69703116581444
SON SERVERA;SLR TURISMO ESPAÑA SL (B76229814);Alta;2 claus;Apartamentos R2 Cala Millor;4383507.28937;Carrer SOL NAIXENT, S/N, S/N. 07560 Cala Millor, SON SERVERA, Mallorca;532915.89263;27/03/1986;AT/1462;;;;Allotjaments;;Apartaments turístics;20;111;Cala Millor;3.383389488649412;39.60067058961981
SES SALINES;APARTAMENTOS IBIZA.COLONIA SL (B16604944);Alta;1 clau;IBIZA;4352717.20125;Carrer ESMERALDA, 6. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;498758.579374;08/05/1986;AT/1474;;;;Allotjaments;;Apartaments turístics;16;82;Colònia De Sant Jordi;2.985597636379633;39.32386383716723
SANTANYÍ;VIROT MARBLAU SL (B57495483);Alta;1 clau;VISTA AL MAR;4353329.60914;Carrer ESGLESIA, 24. 07659 Cala Figuera, SANTANYÍ, Mallorca;514602.665518;23/05/1989;AT/1482;;;;Allotjaments;;Apartaments turístics;8;32;Cala Figuera;3.169426055804376;39.32925974457143
CALVIÀ;MARINA ASJAL SL (B07693948);Alta;2 claus;APARTAMENTOS MARINA PALMANOVA;4374668.2742;GERMANS  MONCADA, 11. 07181 Palmanova, CALVIÀ, Mallorca;460125.70166;04/07/1986;AT/1490;;;;Allotjaments;;Apartaments turístics;20;96;Palmanova;2.536095309801492;39.52073368489146
CALVIÀ;HELIOPAL SA (A07010390);Alta;1 clau;SON CALIU PLAYA II;4375297.15038;SON CALIU, 12. 07181 Palmanova, CALVIÀ, Mallorca;461033.133038;29/08/1986;AT/1504;;;;Allotjaments;;Apartaments turístics;29;87;Palmanova;2.5466153702302585;39.52644167237937
SON SERVERA;PROMOCIONES TURISTICAS DE CALA MILLOR, SL (B07160393);Alta;3 claus;PROTUR FLORIANA;4384840.28;SON FLORIANA, S/N. 07559 Cala Bona, SON SERVERA, Mallorca;533168.73;23/09/1986;AT/1510;;;;Allotjaments;;Apartaments turístics;135;420;Cala Bona;3.3864011137803662;39.6126713609936
ALCÚDIA;INVERSIONES DOMENECH,SL (B57891749);Alta;2 claus;OLIVE BEACH;4409888.20362;DIANA, 8. 07400 ALCÚDIA, Mallorca;510432.763842;11/12/1986;AT/1521;;;;Allotjaments;;Apartaments turístics;20;50;Port DAlcúdia;3.1219351711029923;39.83893737516358
ALCÚDIA;HOTEL CONCORD,SL (B07472590);Alta;2 claus;FERRER TAMARINDOS;4409660.074735;Carrer CIBELES, 1. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;510318.035528;05/01/1987;AT/1522;;;;Allotjaments;;Apartaments turístics;44;88;Port DAlcúdia;3.12059066706489;39.83688332737392
CALVIÀ;APARTAMENTOS PONENT, SL (B07162514);Alta;3 claus;PONENT;4376433.1201;Carrer SEBEL·LI, 4. 07160 Peguera, CALVIÀ, Mallorca;453209.05222;25/02/1987;AT/1528;;Regularització de places;0;Allotjaments;;Apartaments turístics;54;142;Peguera;2.455504746551351;39.53628622153978
SON SERVERA;SEMA CALA BONA SL (B57144834);Alta;1 clau;SEMA II;4384834.39192;Carrer NA LLAMBIES, 38. 07559 Cala Bona, SON SERVERA, Mallorca;533452.013838;04/03/1987;AT/1529;;;;Allotjaments;;Apartaments turístics;8;32;Cala Bona;3.3897008770203674;39.61260728589499
SON SERVERA;ANTONIO LLINAS MELIS Y OTRO CB (E07560386);Alta;1 clau;VILLA MARGARITA;4383833.129175;MARITIM, 11. 07560 Cala Millor, SON SERVERA, Mallorca;533197.07138;04/03/1987;AT/1530;;;;Allotjaments;;Apartaments turístics;8;24;Cala Millor;3.3866807895957103;39.6035956245033
CAPDEPERA;BAUVAL SA (A07478977);Alta;1 clau;MASSANET;4394218.80233;VIA DE LES COVES, 120. 07589 Canyamel, CAPDEPERA, Mallorca;536639.913567;17/03/1987;AT/1535;;;;Allotjaments;;Apartaments turístics;9;43;Canyamel;3.4273579135649506;39.69703116581444
SANT LLORENÇ DES CARDASSAR;COTESA (A07033491);Alta;3 claus;PROTUR ATALAYA;4383496.55;CRISTÒFOL COLOM CANTONADA FLOR, S/N. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;532851.31;05/05/1987;AT/1542;;;;Allotjaments;;Apartaments turístics;60;180;Cala Millor;3.3826367425518193;39.60057630510705
CALVIÀ;SON REUS SA (A07841836);Alta;2 claus;CASA VIDA;4373866.96064;VIA REY SANCHO,10, S/N. 07180 Santa Ponça, CALVIÀ, Mallorca;455430.48164;21/04/1987;AT/1544;;;;Allotjaments;;Apartaments turístics;45;109;Santa Ponça;2.4815259506025833;39.51328289258121
POLLENÇA;DICKINSON APARTMENTS, S.L. (B44673374);Alta;2 claus;BELLAMAR;4416303.35758;Passeig LONDRES, 56. 07470 Port De Pollença, POLLENÇA, Mallorca;506713.210821;29/04/1987;AT/1546;;;;Allotjaments;;Apartaments turístics;27;81;Port De Pollença;3.0785280176501035;39.89677546122196
CALVIÀ;;Alta;3 claus;TENT MOJITO;4372936.99482;Avinguda LES PALMERES, 2. 07181 Magaluf, CALVIÀ, Mallorca;459526.253005;05/05/1987;AT/1549;;;;Allotjaments;;Apartaments turístics;120;295;Magaluf;2.5292267339601855;39.50510637509948
SANTANYÍ;Jordi Chale Sust;Alta;2 claus;CALA DOR PARK;4358454.26;RAVELL, S/N, S/N. 07660 Cala DOr, SANTANYÍ, Mallorca;520027.69;05/05/1987;AT/1550;;;;Allotjaments;;Apartaments turístics;73;218;Cala DOr;3.23252197725693;39.375327992834116
MURO;GRUPOTEL DOS SA (A07919087);Alta;3 claus;LOS PRINCIPES II;4407000.71948;Carrer GALEÓ, 31. 07458 Platja De Muro, MURO, Mallorca;509933.9706105;05/05/1987;AT/1551;;;;Allotjaments;;Apartaments turístics;36;72;Platja De Muro;3.1160616465096274;39.81292696296667
SES SALINES;AMENGUAL & PINO CONSULTORES, SL (B57299232);Alta;1 clau;OBRADOR;4352025.2932;CERVANTES, 4-5. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;499491.917712;19/05/1987;AT/1553;;;;Allotjaments;;Apartaments turístics;7;37;Colònia De Sant Jordi;2.994105997414307;39.317629892432684
ALCÚDIA;APARTAMENTOS VENECIA SL (B07322126);Alta;2 claus;VENECIA;4408715.95932;GARBALLONS, 2. 07410 ALCÚDIA, Mallorca;510046.928338;20/05/1987;AT/1554;;;;Allotjaments;;Apartaments turístics;16;48;Port DAlcúdia;3.1174076609484827;39.828380055320316
ANDRATX;APARTAHOTEL DON CAMILO SA (A07830607);Alta;1 clau;AQUAVILLA;4380800.74006;Carrer CALA CONILLS, S/N. 07159 Sant Elm, ANDRATX, Mallorca;444458.61482;21/05/1987;AT/1555;;;;Allotjaments;;Apartaments turístics;27;54;Sant Elm;2.3533182619164505;39.57511656910317
POLLENÇA;BELLAUBA HOTELES Y APARTAMENTOS SL (B07998677);Alta;3 claus Superior;LAS VELAS I;4416289.58081;Carrer FALCO, 18. 07470 Port De Pollença, POLLENÇA, Mallorca;506264.316583;10/06/1987;AT/1559;;;0;Allotjaments;;Apartaments turístics;36;78;Port De Pollença;3.073276933645545;39.896654769762144
POLLENÇA;BELLAUBA HOTELES Y APARTAMENTOS SL (B07998677);Alta;3 claus Superior;HOBBY CLUB;4415964.57878;Passeig LONDRES, 76. 07470 Port De Pollença, POLLENÇA, Mallorca;506678.780181;04/09/1987;AT/1581;;;;Allotjaments;;Apartaments turístics;54;108;Port De Pollença;3.078121798783012;39.89372335052682
ALCÚDIA;ALMARSA HOSTELERIA, SL (B57100281);Alta;2 claus;CARLOS V;4411419.84367;POLLENTIA, 2. 07400 ALCÚDIA, Mallorca;510627.805794;23/09/1987;AT/1584;;;;Allotjaments;;Apartaments turístics;21;62;Alcúdia;3.1242396319425505;39.8527350674195
CALVIÀ;IT GABALO SL (B07615180);Alta;2 claus;NAIKA;;Carrer MARQUES DE LA TORRE, 18. 07181 Palmanova, CALVIÀ, Mallorca;;02/02/1988;AT/1597;;;;Allotjaments;;Apartaments turístics;11;25;Palmanova;;
CALVIÀ;Unión Agrícola, Turística e Inmobiliaria, SLU (B07438385);Alta;3 claus;LOS TILOS;4376598.96573;Plaça MATILDE WARING, 3. 07160 Peguera, CALVIÀ, Mallorca;452596.81177;02/03/1988;AT/1598;;;;Allotjaments;;Apartaments turístics;20;60;Peguera;2.448368728392882;39.53774691791763
SON SERVERA;APARTAMENTOS TURÍSTICOS LAS PALMERAS, SL (B57344517);Alta;1 clau;LOS ALAMOS;4385510.93259;Carrer CA SHEREU, 11. 07560 Cala Millor, SON SERVERA, Mallorca;531034.908416;20/04/1988;AT/1602;;;;Allotjaments;;Apartaments turístics;10;40;Cala Millor;3.361574949732954;39.61879410251198
POLLENÇA;HOTELERA POLLENSINA SA (A07071517);Alta;3 claus;DAINA;4417470.48797;Carretera FORMENTOR S/N, S/N. 07470 Port De Pollença, POLLENÇA, Mallorca;507071.95846;28/04/1988;AT/1616;;;;Allotjaments;;Apartaments turístics;20;59;Port De Pollença;3.082737123205737;39.90728832589296
CALVIÀ;Balear Hospitality Management Group, S.L. (B56611783);Alta;1 clau;BALEAR BEACH;4373707.2022;Carrer CALA BLANCA, 7. 07181 Palmanova, CALVIÀ, Mallorca;460362.481432;05/05/1988;AT/1619;;;;Allotjaments;;Apartaments turístics;16;44;Palmanova;2.5389072191034683;39.5120851329583
ALCÚDIA;CA SAMITGER, S.L. (B57725764);Alta;1 clau;EDIFICIO PLAYA;4408994.64542;Carrer CIRERERS S/N, S/N. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;510074.135131;24/05/1988;AT/1625;;;;Allotjaments;;Apartaments turístics;8;20;Port DAlcúdia;3.1177298830246114;39.83089070868468
ALCÚDIA;APARTAMENTS SES DALIES,SL (B07107402);Alta;3 claus;SES DALIES;4408875.01858;Carrer CANYES, 1. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;510044.247294;07/07/1988;AT/1631;;;;Allotjaments;;Apartaments turístics;20;40;Port DAlcúdia;3.1173787695058786;39.82981321896301
CALVIÀ;NAGOCHOGALPA,SL (B57998940);Alta;2 claus;NEIGHBORS APARTAMENTS;4372973.19552;CONTRALMIRALL RIERA ALEMANY, S/N. 07182 Magaluf, CALVIÀ, Mallorca;459854.24155;08/07/1988;AT/1633;;;;Allotjaments;;Apartaments turístics;12;36;Magaluf;2.53303945363324;39.5054479380239
CAPDEPERA;FLACALCO SL (B07661069);Alta;3 claus;FLACALCO II;4395829.55427;Carrer COCONAR, 59. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;19/07/1988;AT/1635;;;;Allotjaments;;Apartaments turístics;30;75;Cala Rajada;3.459837694366632;39.71142029804171
SANT LLORENÇ DES CARDASSAR;APARTAMENTOS RIGO CB (E57750499);Alta;1 clau;RIGO;4383440.33098;FLOR, 1. 07560 Son Moro Bonavista, SANT LLORENÇ DES CARDASSAR, Mallorca;532935.037655;04/08/1988;AT/1638;;;;Allotjaments;;Apartaments turístics;10;55;Son Moro Bonavista;3.3836091481867614;39.60006654360261
CALVIÀ;MIGUEL BARCELO PUIGSERVER;Alta;2 claus;PINOS MAR III;4374766.28663;Carrer COSTA I LLOBERA, 1. 07181 Palmanova, CALVIÀ, Mallorca;460119.586851;05/08/1988;AT/1640;;;;Allotjaments;;Apartaments turístics;17;85;Palmanova;2.5360182950142227;39.52161651771559
CALVIÀ;AMLA EXPLOTACIONES TURISTICAS, SA (A83791558);Alta;3 claus;NOVA;4373916.46837;CAS SABONERS, 6. 07181 Palmanova, CALVIÀ, Mallorca;460126.628866;05/08/1988;AT/1641;;;;Allotjaments;;Apartaments turístics;135;395;Palmanova;2.5361511536623906;39.513959763117846
ALCÚDIA;RESORTS MALLORCA HOTELS INTERNATIONAL, SL (B07993991);Alta;1 clau;RANDEMAR;4409870.32575;Carrer MINERVA, 12. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;510587.752856;16/09/1988;AT/1647;;;;Allotjaments;;Apartaments turístics;6;30;Port DAlcúdia;3.123746345476814;39.83877437692817
PALMA;JORBAR SL (B07262538);Alta;2 claus;JORBAR;4373009.3726;CANNAS, 29. 07600 PALMA, Mallorca;478781.547403;19/10/1988;AT/1650;;;;Allotjaments;;Apartaments turístics;22;66;Platja De Palma;2.753190919265096;39.50644969427579
SANT LLORENÇ DES CARDASSAR;BEDS & ROOMS PINOMAR S.L. (B57851941);Alta;2 claus;CLUB SA COMA;4381011.83652;CARDS, 63. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca;532089.82268;24/10/1988;AT/1656;;;;Allotjaments;;Apartaments turístics;52;126;Coma (La);3.3736471967506105;39.57821728435168
FELANITX;MARIA RIGO ADROVER;Alta;2 claus;ROTONDA;4359191.97002;DES FORN, 45. 07669 Cala Ferrera, FELANITX, Mallorca;520664.767968;25/10/1988;AT/1658;;;;Allotjaments;;Apartaments turístics;4;21;Cala Ferrera;3.239941164252589;39.381960255257106
ALCÚDIA;Leomar Sand Beach, SL (B02691970);Alta;2 claus;Sand Beach;4408898.7792;Carrer REINA SOFIA S/N, S/N. 07410 Port DAlcúdia, ALCÚDIA, Mallorca;509325.998338;22/11/1988;AT/1664;;;;Allotjaments;;Apartaments turístics;24;60;Port DAlcúdia;3.1089855441052863;39.830035491474796
CALVIÀ;VISTA CLUB SL (B07122930);Alta;3 claus;VISTA CLUB;4374661.59133;Carrer NUÑO SANZ 20, S/N. 07180 Santa Ponça, CALVIÀ, Mallorca;455033.870016;20/12/1988;AT/1668;;;;Allotjaments;;Apartaments turístics;102;284;Santa Ponça;2.4768586707048876;39.52042199021953
CALVIÀ;APAJOMAR SL (B07809486);Alta;1 clau;KENSINGTON;4373652.98346;Carrer MARTIN ROS GARCIA, 10. 07181 Palmanova, CALVIÀ, Mallorca;460425.251253;18/01/1989;AT/1670;;;;Allotjaments;;Apartaments turístics;15;45;Palmanova;2.539640605913105;39.511599501013166
SES SALINES;Apartaments Es Salobrar, C. B. (E72728389);Alta;1 clau;Apartaments Lavendel;4352133.34033;Carrer CERVANTES, 22. 07638 Colònia De Sant Jordi, SES SALINES, Mallorca;499423.242079;27/01/1989;AT/1673;;;;Allotjaments;;Apartaments turístics;7;11;Colònia De Sant Jordi;2.9933092338071923;39.318603447352935
SON SERVERA;JUAN MELIS RIERA;Baixa temporal;1 clau;FORTUNA;4387905.95388;Carrer FETGET, 12. 07560 Cala Millor, SON SERVERA, Mallorca;531847.021354;08/03/1989;AT/1683;;;;Allotjaments;;Apartaments turístics;8;28;Cala Millor;3.371151647024831;39.64034386884591
CALVIÀ;SANS GAYA HERMANOS SL (B07614373);Alta;2 claus;FLOR LOS ALMENDROS;4376517.30998;PAGUERA, 34. 07160 Peguera, CALVIÀ, Mallorca;452479.241221;13/03/1989;AT/1686;;;;Allotjaments;;Apartaments turístics;60;150;Peguera;2.447006456856714;39.537004690476884
SANT LLORENÇ DES CARDASSAR;BEDS & ROOMS PLAYAMAR S.L. (B57851909);Alta;2 claus;PLAYAMAR;4379837.95;PONENT S/N, S/N. 07687 Illot (L), SANT LLORENÇ DES CARDASSAR, Mallorca;531945.1;17/04/1989;AT/1692;;;;Allotjaments;;Apartaments turístics;31;93;Illot (L);3.3719055886656943;39.56764564670292
CAPDEPERA;ESTEVA LLITERAS S.L. (B16500480);Alta;1 clau;LLITERAS;4395829.55427;REIS CATOLICS, 28. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;19/04/1989;AT/1695;;;;Allotjaments;;Apartaments turístics;27;61;Cala Rajada;3.459837694366632;39.71142029804171
POLLENÇA;KACITOSA SL (B09683327);Alta;3 claus;TORRE PLAYA;4417122.07562;Passeig SARALEGUI, 84. 07470 Port De Pollença, POLLENÇA, Mallorca;506934.765057;19/04/1989;AT/1696;;;;Allotjaments;;Apartaments turístics;21;62;Port De Pollença;3.0811283521613424;39.90415028526149
PALMA;EMBAT SL (B07232481);Alta;2 claus;EMBAT;4376115.57789;Carrer NANSES, 7. 07610 Can Pastilla, PALMA, Mallorca;475455.358183;02/05/1989;AT/1703;;;;Allotjaments;;Apartaments turístics;40;105;Can Pastilla;2.714387115516954;39.534349395146606
SON SERVERA;PROMOCIONES TURISTICAS DE CALA MILLOR, SL (B07160393);Alta;3 claus;BAHIA AZUL;4384727.6;SON FLORIANA J-2,3,4,5, S/N. 07560 Cala Millor, SON SERVERA, Mallorca;533026.43;10/05/1989;AT/1704;;;;Allotjaments;;Apartaments turístics;44;92;Cala Millor;3.3847377965635856;39.61166159268463
POLLENÇA;LINEA TURISTICA SL (B07195761);Alta;2 claus;MASSOL;4417653.00088;VICENÇ BUADES, S/N. 07470 POLLENÇA, Mallorca;506854.454914;16/05/1989;AT/1706;;;;Allotjaments;;Apartaments turístics;24;42;Port De Pollença;3.0801943988436786;39.908934543353396
LLUCMAJOR;SUN CLUB EL DORADO, S.A. (A07090806);Alta;2 claus;SUN CLUB EL DORADO;4365518.17;Carrer CAP BLANC, s/n. 07609 -, LLUCMAJOR, Mallorca;478613.5999999996;23/05/1989;AT/1710;;;;Allotjaments;;Apartaments turístics;40;120;;2.7514776738371056;39.438945759251666
CALVIÀ;CALA LLAMP SL (B07872542);Alta;3 claus;INN;;PERE VAQUER RAMIS, 12;;26/06/1989;AT/1722;;;;Allotjaments;;Apartaments turístics;50;102;Magaluf;;
ARTÀ;DANIEL GABRIEL SAUNIER (X2276896B);Alta;1 clau;LAS COLMENAS;4400602.83203;BETLEM, S/N. 07579 Urbanització Betlem, ARTÀ, Mallorca;527335.491849;17/07/1989;AT/1733;;;;Allotjaments;;Apartaments turístics;12;38;Urbanització Betlem;3.319100581402848;39.754900536997255
SON SERVERA;David Capdevila Sastre;Alta;2 claus;MALLORCA ROOMS CALA MILLOR;4383870.1054;Carrer DALIA, 31. 07560 Cala Millor, SON SERVERA, Mallorca;532550.310175;18/07/1989;AT/1734;;;;Allotjaments;;Apartaments turístics;16;32;Cala Millor;3.3791492630287694;39.60395361561035
MURO;LAGOTEL SA (A07035256);Alta;3 claus;LAGOTEL CLUB;4407058.03066;CIRCUIT DEL LLAC, S/N. 07458 Platja De Muro, MURO, Mallorca;509402.415899;18/07/1989;AT/1736;;;;Allotjaments;;Apartaments turístics;72;216;Platja De Muro;3.109852161695969;39.81344938671438
SANTANYÍ;HOTEL VILLA SIRENA I APARTAMENTS, SL (B16620791);Alta;2 claus;CALA FIGUERA;4353448.34667;Carrer VERGE DEL CARME, 88. 07659 Cala Figuera, SANTANYÍ, Mallorca;514809.462148;11/09/1989;AT/1738;;;;Allotjaments;;Apartaments turístics;18;72;Cala Figuera;3.1718280027310386;39.33032614837581
CALVIÀ;INVERSIONES REUNIDAS DE BALEARES, SLU (B16630642);Alta;3 claus;SOTAVENTO;4373426.23476;Carrer TORRENOVA, 34. 07181 Palmanova, CALVIÀ, Mallorca;460654.125919;11/09/1989;AT/1740;;;;Allotjaments;;Apartaments turístics;72;144;Palmanova;2.542316351107832;39.50956694431508
SANTA MARGALIDA;SONAPARTUR SL (B07856636);Alta;3 claus;BAULO MAR;4401044.66118;Avinguda SON BAULO -URB.SON BAULO, 5. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;514075.749795;14/09/1989;AT/1742;;;;Allotjaments;;Apartaments turístics;20;59;Can Picafort;3.1643234607976836;39.75920379600092
CALVIÀ;LIDAL SL (B07098841);Alta;2 claus;SOLIVERA;4376763.41542;EUCALIPTO S/N, S/N. 07160 Peguera, CALVIÀ, Mallorca;452500.597826;11/09/1989;AT/1743;;;;Allotjaments;;Apartaments turístics;31;62;Peguera;2.4472373818097153;39.539223307578794
MURO;IBEROSTAR MANAGEMENT SA (A07816481);Alta;3 claus;IBEROSTAR PLAYA DE MURO II;4406358.31409;ALBUFERA, S/N. 07458 MURO, Mallorca;510005.57416;11/09/1989;AT/1744;;;;Allotjaments;;Apartaments turístics;51;141;Platja De Muro;3.116888408026562;39.80713799909816
CALVIÀ;ALBA DOR SL (B07771033);Alta;3 claus;PLAZAMAR;4373798.02739;DEL GOLF, 4. 07180 Santa Ponça, CALVIÀ, Mallorca;455685.195692;11/09/1989;AT/1746;;;;Allotjaments;;Apartaments turístics;94;194;Santa Ponça;2.484493498728753;39.512674966805335
POLLENÇA;PORTVIL, SLU (B07620305);Alta;2 claus;PINOS ALTOS;4418798.85563;TEMPORAL, 49. 07469 Cala Sant Vicenç, POLLENÇA, Mallorca;504716.9642385;11/10/1989;AT/1748;;;;Allotjaments;;Apartaments turístics;16;53;Cala Sant Vicenç;3.055194907126409;39.91927321486909
POLLENÇA;ILLA DOR SA (A07024896);Alta;3 claus Superior;ILLA DOR CLUB;4417812.60826;FAR, 24. 07470 POLLENÇA, Mallorca;508090.253656;11/10/1989;AT/1749;;;;Allotjaments;;Apartaments turístics;24;69;Port De Pollença;3.0946547151146766;39.9103616950976
SANTANYÍ;EXPLOTACIONES BADIOLA LLABRES SL (B07782394);Alta;1 clau;DON FELIPE;4358509.82078;URBANITZACIO PUNTA GROSSA. SES PERTIONS, 7. 07660 Cala DOr, SANTANYÍ, Mallorca;520195.359546;11/10/1989;AT/1750;;;;Allotjaments;;Apartaments turístics;11;26;Cala DOr;3.2344702843099915;39.375824728304316
CALVIÀ;HOTELERA SAN VALENTIN SA (A07019227);Alta;3 claus;APARTAMENTOS VALENTÍN PAGUERA;4376809.26222;Carrer PERAL, 3. 07160 Peguera, CALVIÀ, Mallorca;452576.459075;11/10/1989;AT/1760;;;;Allotjaments;;Apartaments turístics;31;93;Peguera;2.448116888452373;39.539640586605344
POLLENÇA;BLANCO Y FERRA ASOCIADOS 2014, SL (B57839029);Alta;1 clau;LLEVANT;4417702.94131;PERE MELIA, 11. 07470 POLLENÇA, Mallorca;507517.963601;30/10/1989;AT/1762;;;;Allotjaments;;Apartaments turístics;22;44;Port De Pollença;3.0879577540581464;39.909378875246
CALVIÀ;LUMOSA SA (A07207848);Alta;3 claus;SOL LUNAMAR;4373981.17249;CAS SABONERS, 8. 07181 Palmanova, CALVIÀ, Mallorca;460085.880609;30/11/1989;AT/1765;;;;Allotjaments;;Apartaments turístics;143;291;Palmanova;2.5356732606381613;39.51454087201905
