Municipi;Explotador/s;Estat;Categoria;Denominació comercial;UTM(Y);Direcció;UTM (X);Inici d'activitat;Signatura;Hotel de ciutat;Excepcions ratio turístic;Superfície;Subgrup;Memoria descriptiva;Grup;Unitats;Places;Localitat;longitude;latitude
CAPDEPERA;Meridian Casas, S.L. (B70652763);Alta;1 estrella;SINGULAR CALA RATJADA;4395829.55427;MENDEZ NUÑEZ, 61. 07590 Cala Rajada, CAPDEPERA, Mallorca;539416.41952;22/04/1971;H/641;;;;Allotjaments;;Hostal;60;118;Cala Rajada;3.459837694366632;39.71142029804171
CAPDEPERA;ALZINA PONS SL (B07612831);Alta;1 estrella;ALZINA;4394218.80233;Avinguda CALA AGULLA, 86. 07590 Cala Rajada, CAPDEPERA, Mallorca;536639.913567;15/05/1962;H/642;;;;Allotjaments;;Hostal;63;120;Cala Rajada;3.4273579135649506;39.69703116581444
LLUCMAJOR;CONFORT HOTELES SA (A07060502);Alta;3 estrelles;AMAZONAS;4372236.52319;Carrer SANT BARTOMEU, 4. 07620 Arenal (L), LLUCMAJOR, Mallorca;478666.403216;01/01/1962;H/653;;;;Allotjaments;;Hotel;110;200;Arenal (L);2.751876359533276;39.49948308990203
POLLENÇA;HOTELERA POLLENSINA SA (A07071517);Alta;4 estrelles;Hotel Cultural Boutique Hoposa;;Carrer MIGUEL CAPLLOCH, 16. 07470 Port De Pollença, POLLENÇA, Mallorca;;01/01/1964;H/660;;;;Allotjaments;;Hotel;24;45;Port De Pollença;;
PALMA;ART I TURISME SL (B07821648);Alta;4 estrelles;CIUTAT JARDI;4378120.12712;Carrer ILLA DE MALTA, 14. 07007 Ciutat Jardí, PALMA, Mallorca;473437.417464;01/01/1921;H/670;;;;Allotjaments;;Hotel;20;38;Ciutat Jardí;2.6908255903222216;39.552351084028665
PALMA;David Capdevila Sastre;Alta;1 estrella;MALLORCA ROOMS;4376697.70254;Carrer ANTONI LLABRÉS MORELL, 2. 07610 Can Pastilla, PALMA, Mallorca;475328.289968;01/01/1963;H/671;;;;Allotjaments;;Hostal;12;17;Can Pastilla;2.712886899873618;39.53959093481588
PALMA;PLANELLA FERRER, SL (B57784423);Alta;4 estrelles;HOTEL HOSTALCUBA;4380117.2609;Carrer SANT MAGI, 1. 07013 PALMA, Mallorca;469001.78187;01/10/1987;H/677;Sí;;;Allotjaments;;Hotel;15;30;Palma;2.6391047762531263;39.570197073792485
PALMA;HOTEL BARI C.B (E16501611);Alta;2 estrelles;BARI;4376242.42053;BELLAMAR, 16. 07610 Can Pastilla, PALMA, Mallorca;475629.279596;21/06/1961;H/678;;;;Allotjaments;;Hotel;29;53;Can Pastilla;2.716406272340061;39.53549725513506
PALMA;ALLTOURS ESPAÑA SL (B35379841);Alta;4 estrelles;RIVIERA PLAYA;4375261.7325;Carrer MARBELLA, 26. 07610 Platja De Palma, PALMA, Mallorca;477184.438815;21/07/1962;H/687;;Disposició Transitòria Decret Llei 3/2014, de 5 de desembre;0;Allotjaments;;Hotel;98;190;Platja De Palma;2.734536593084759;39.52670357003859
PALMA;HOTEL AMIC HORIZONTE SA (A07962079);Alta;2 estrelles;HORIZONTE;4378484.7424;Carrer VISTA ALEGRE, 1. PALMA, Mallorca;467481.104227;01/01/1966;H/688;;;;Allotjaments;;Hotel;199;380;Palma;2.621480690882809;39.55543128683458
SANTANYÍ;Alexander Fowler (X0550895E);Alta;2 estrelles;FOWLERS HOTEL;4357849.69788;DEN RITO, 12, S/N. 07660 Cala DOr, SANTANYÍ, Mallorca;519550.257753;01/01/1969;H/692;;Regularització de places;550;Allotjaments;;Hotel;8;16;Cala DOr;3.2269613806851516;39.369891403631165
LLUCMAJOR;KILIMANJARO SL (B07174089);Alta;3 estrelles;KILIMANJARO;4372328.12263;Carrer GRAN I GENERAL CONSELL, 47. 07620 Arenal (L), LLUCMAJOR, Mallorca;478888.453526;01/01/1961;H/694;;;;Allotjaments;;Hotel;154;285;Arenal (L);2.7544560229538697;39.500313929149755
PALMA;NOUS PROJECTES I CALCULS, SL (B57493991);Alta;4 estrelles;LAS ARENAS;4376190.27559;Carrer TIT LIVI, 14. 07610 Can Pastilla, PALMA, Mallorca;475650.350913;01/01/1961;H/7;;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;0;Allotjaments;;Hotel;247;478;Can Pastilla;2.716653379381965;39.5350280054734
PALMA;HOTELERA BALEAR SA (A07008279);Alta;4 estrelles;ALMUDAINA;4380298.84677;JAUME III, 9. 07012 PALMA, Mallorca;469538.754955;01/01/1961;H/703;;;;Allotjaments;;Hotel;78;144;Palma;2.645348009280168;39.57185246225907
PALMA;ILUSION HOTELS ILLES, SL (B57960163);Alta;3 estrelles;ILUSION CALMA;4376324.22606;Carrer HORACIO, 5. 07610 Can Pastilla, PALMA, Mallorca;475585.20243;01/07/1962;H/704;;;;Allotjaments;;Hotel;190;361;Can Pastilla;2.7158903625836475;39.536233104413796
PALMA;MIRADOR, S.A. (A07008550);Alta;4 estrelles;MIRADOR;4379932.61085;Passeig MARITIM, 10. 07014 PALMA, Mallorca;468352.332281;01/01/1953;H/714;Sí;Excepció article 5.5 llei 8/2012, hotel de ciutat;0;Allotjaments;;Hotel;109;219;Palma;2.6315525430157582;39.56850959760866
PALMA;PAUL GALLE (X2240875P);Alta;1 estrella;TERRAMAR;4379156.09535;Plaça MEDITERRRANI, 8. 07014 PALMA, Mallorca;467880.251961;01/01/1931;H/715;;;;Allotjaments;;Hostal residència;19;33;Palma;2.6260941913567777;39.56149541513863
SANTA MARGALIDA;LINDA MAR SL (B07452725);Alta;3 estrelles;HORITZO;4401858.240515;Carrer VIA ALEMANYA, 1. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;512962.806353;05/06/1962;H/724;;;;Allotjaments;;Hotel;75;142;Can Picafort;3.151346800891174;39.76655192685486
